"Sample","Chao1","Shannon","Simpson","Observed"
"X18c2a",15,1.3099475200971,0.675728863923679,9
"X18c2b",16.2,1.40476194907384,0.611294295507566,15
"X18c3a",19.3333333333333,1.57410492320595,0.672288183085926,16
"X18c3b",16,1.48431695591557,0.669994395860757,13
"X18c3c",8,1.04738318269634,0.487664377223735,8
"X18s1a",62,1.82396776345422,0.789297397333472,17
"X18s1b",22,1.82257600297372,0.756636995138735,17
"X18s1c",32,2.17916690181644,0.844217961917919,23
"X18s2a",66,1.66791205435933,0.64413715804976,26
"X18s2b",16,1.88978096497833,0.811453296667492,13
"X18s2c",24.5,1.72460925245933,0.725123486556582,17
"X18s3a",19,1.51228887060702,0.678205111496305,14
"X18s3b",20,1.76942540235529,0.772041861616859,15
"X18s3c",25,1.54899301496428,0.637464322485631,18
"X3c1a",19.5,0.662691329528269,0.251795279490154,12
"X3c1a.2",17,0.494105342751023,0.171121740150399,12
"X3c1b",50,0.593658388762533,0.209386281588448,14
"X3c1c",26,0.603183396963583,0.227528053278421,11
"X3c2a",18,0.696518425828101,0.258415983526437,13
"X3c2b",14.3333333333333,0.56429949299876,0.208917097837845,11
"X3c2c",28,0.650373201160117,0.23420088884255,14
"X3c3a",46.5,0.884266554178955,0.307602080047961,19
"X3c3b",16,0.645972145951651,0.245930482607619,11
"X3c3c",16,0.580029042844088,0.215198946943137,11
"X3s1b",25,1.80788976830326,0.730206310521446,20
"X3s1c",51.75,2.11705638232774,0.79672614005135,29
"X3s2a",30.5,1.51892706150119,0.573472872056198,23
"X3s2b",33,1.77455874438813,0.644684539092129,24
"X3s2c",36,1.88827289356048,0.74824381915573,25
"X3s3b",41.5,1.75146058390467,0.692124229430854,25
"X3s3c",26.2,1.91814366150856,0.714801444043321,22
"X6c1a",97,1.93257725636838,0.729163679964551,29
"X6c1b",34.25,2.06795869962568,0.80616194659125,23
"X6c1c",45.5,1.75684536797303,0.654745923966167,26
"X6c2a",27.2,1.88129870278895,0.698145420896923,23
"X6c2b",37.75,1.94134471608784,0.741466720535912,24
"X6c2c",21.5,1.5703922781437,0.62406651982953,19
"X6c3a",67,1.58986751923936,0.613692345788424,22
"X6c3b",23.5,2.02211681992912,0.81132296784788,21
"X6s1a",15.3333333333333,1.21896707214973,0.459435154895802,15
"X6s1b",24,1.49327490043734,0.603943750081456,19
"X6s1c",14.5,1.42492568922303,0.595706968681985,14
"X6s2a",49.75,1.87282178269693,0.738104236989926,27
"X6s2b",25,1.54168821534295,0.590337421313975,20
"X6s2c",28.25,2.18491047948054,0.82612832175579,23
"X6s3a",20.75,1.64440830065734,0.707529095908978,17
"X6s3b",17.1428571428571,1.88999245322253,0.781243076281458,17
"X6s3c",17.3333333333333,1.16299908256477,0.464517978860665,17
"X9c1a",28,1.88055471765123,0.763153436119329,21
"X9c1b",34.25,1.96851336866719,0.786612623649468,23
"X9c1c",30,1.818690262808,0.74253541685673,21
"X9c2b",20.5,1.92796440288078,0.78708180740007,18
"X9c2c",37,1.74522073482165,0.660115471334176,22
"X9c3a",34,2.03814180481072,0.791304461155495,22
"X9c3b",55.3333333333333,1.65861274577842,0.623936191009918,25
"X9c3c",101,1.59628351038382,0.607462628210976,23
"X9s1a",22.25,1.45763021729883,0.616116461833205,17
"X9s1b",39.5,1.74189746790033,0.679769057331648,23
"X9s1c",13.5,0.505753773786988,0.171382397789623,12
"X9s2a",28,1.91918502458632,0.740971471021387,21
"X9s2b",19.5,1.66635486423771,0.710370264176517,17
"X9s2c",34,2.12834313551379,0.828734898148027,22
"X9s3a",24,1.39038324952592,0.624744229691512,17
"X9s3b",12,1.24504633364249,0.612597583703684,11
"X9s3c",56.3333333333333,2.28591998067113,0.857094449295573,26
